filename,target,category
c4fc44495d95.wav,1,rooster
450a99196774.wav,24,coughing
f94024bd4f59.wav,44,engine
17fa5d8df2c9.wav,33,door_wood_creaks
6612100f4c9d.wav,7,insects
e50f69dbb412.wav,22,clapping
d729bc8f2b39.wav,47,airplane
5931fd49f322.wav,14,chirping_birds
cc3162975490.wav,10,rain
4e0d62e19b40.wav,17,pouring_water
23133c271ed7.wav,27,brushing_teeth
5a084cbf96c7.wav,18,toilet_flush
7fdac24791a1.wav,24,coughing
da3eb75e6d7c.wav,26,laughing
341a503d2ec4.wav,2,pig
315450f4f7ab.wav,49,hand_saw
03123ac0184e.wav,43,car_horn
ffd66df27996.wav,30,door_wood_knock
4356ba85e32d.wav,0,dog
fc1b3717427b.wav,44,engine
7d0bfadaf296.wav,0,dog
eabc68e7b881.wav,17,pouring_water
37a3ca9f97f8.wav,18,toilet_flush
c1a43fe487b5.wav,42,siren
18eb8362f3af.wav,6,hen
e93e17695b5f.wav,34,can_opening
453ceb3a4c63.wav,22,clapping
33a8fb714d34.wav,30,door_wood_knock
c1a13f94d7fe.wav,2,pig
fed9d9d76cf1.wav,30,door_wood_knock
c7fd119ba6d8.wav,27,brushing_teeth
18cc5a5108ef.wav,16,wind
aacfbc8b7654.wav,6,hen
5f1ddaa73f66.wav,11,sea_waves
609e10963cbe.wav,17,pouring_water
91c06209e7fb.wav,20,crying_baby
9d4bb0cfead4.wav,22,clapping
6ac739d690c5.wav,25,footsteps
32e6e7852576.wav,37,clock_alarm
55ad7cc348ea.wav,14,chirping_birds
e6e24ff94b14.wav,11,sea_waves
a94ba705bec2.wav,12,crackling_fire
8e62d3ef46a2.wav,4,frog
041dcc4f9006.wav,38,clock_tick
bed8e0fd6a87.wav,17,pouring_water
83a3219e0d6d.wav,42,siren
2c373f0c40aa.wav,0,dog
2556075a1665.wav,25,footsteps
3bbb8c230c40.wav,12,crackling_fire
d29bbf3a6c13.wav,1,rooster
1e2d0390704c.wav,11,sea_waves
98d36ce4f266.wav,6,hen
a51e744a082e.wav,33,door_wood_creaks
d71a91d137f0.wav,8,sheep
